Verifying 94 replacements against live PubMed...

[1/94] associated_with:ABCB1->Breast_Cancer: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[2/94] associated_with:BCL2->AML: REPLACE_WEAK_NO_KEYWORD (both=True kw=None orig_ontopic=True)
[3/94] associated_with:Fluorouracil->TOP2A: REPLACE_OK (both=True kw=marker orig_ontopic=True)
[4/94] associated_with:MET->NSCLC: REPLACE_OK (both=True kw=overexpress orig_ontopic=True)
[5/94] associated_with:MTOR->RCC: REPLACE_OK (both=True kw=pathway orig_ontopic=True)
[6/94] associated_with:PDGFRA->Soft_Tissue_Sarcoma: REPLACE_OK (both=True kw=mutation orig_ontopic=True)
[7/94] associated_with:TGFB1->Colorectal_Cancer: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[8/94] inhibits:Cisplatin->TOP2A: REPLACE_OK (both=True kw=inhib orig_ontopic=True)
[9/94] inhibits:Dabrafenib->BRAF: REPLACE_OK (both=True kw=inhib orig_ontopic=False)
[10/94] synergizes_with:Dabrafenib->Trametinib: REPLACE_OK (both=True kw=combin orig_ontopic=True)
[11/94] treats:Nivolumab->RCC: REPLACE_OK (both=True kw=treat orig_ontopic=True)
[12/94] treats:Olaparib->Breast_Cancer: REPLACE_OK (both=True kw=treat orig_ontopic=True)
[13/94] treats:Pembrolizumab->Melanoma: REPLACE_OK (both=True kw=treat orig_ontopic=True)
[14/94] inhibits:Cetrorelix->GNRHR: REPLACE_OK (both=True kw=inhib orig_ontopic=True)
[15/94] inhibits:Daratumumab->CD38: REPLACE_OK (both=True kw=suppress orig_ontopic=True)
[16/94] associated_with:VEGFR2->CLL: REPLACE_OK (both=True kw=correlat orig_ontopic=True)
[17/94] associated_with:VEGFR2->GIST: REPLACE_WEAK_NO_KEYWORD (both=True kw=None orig_ontopic=True)
[18/94] associated_with:VEGFR2->NSCLC: REPLACE_OK (both=True kw=pathway orig_ontopic=True)
[19/94] associated_with:RB1->NSCLC: REPLACE_OK (both=True kw=mutation orig_ontopic=True)
[20/94] associated_with:NRAS->AML: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[21/94] associated_with:AKT1->Pancreatic_Cancer: REPLACE_OK (both=True kw=mutation orig_ontopic=True)
[22/94] associated_with:AKT1->Colorectal_Cancer: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[23/94] associated_with:MTOR->Myelofibrosis: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[24/94] associated_with:ERK1->Glioblastoma: REPLACE_OK (both=True kw=correlat orig_ontopic=True)
[25/94] associated_with:ERK1->AML: REPLACE_OK (both=True kw=pathway orig_ontopic=True)
[26/94] associated_with:ERK1->GIST: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[27/94] associated_with:ERK1->NSCLC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[28/94] associated_with:ERK1->HCC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[29/94] associated_with:ERK2->HCC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
