# Druggable Protein->Disease PMID Verification Results
# Format: ROWID|PROTEIN|DISEASE|PMID|DECISION|REASON

2153|ERBB4|NSCLC|24269963|YES|Review of EGFR/ErbB family (including ErbB4) in NSCLC and therapeutic targeting
2153|ERBB4|NSCLC|20641864|YES|Discusses EGFR/ErbB family receptors and their role in NSCLC
2153|ERBB4|NSCLC|38398101|YES|Epiregulin binds EGFR and ErbB4, plays role in NSCLC tumorigenesis
1688|MAP2K2|AML|35760010|YES|MAP2K2 knockdown suppresses ERK1/2 activation in AML cells
1688|MAP2K2|AML|39273530|YES|MAP2K2 expression upregulated in FLT3-mutant AML
2155|MAP2K2|Melanoma|22197931|YES|MAP2K1 and MAP2K2 (MEK1/2) mutations in melanoma with constitutive ERK phosphorylation
2155|MAP2K2|Melanoma|36614156|YES|MAP2K1/MAP2K2 mutations as biomarkers in melanoma
2155|MAP2K2|Melanoma|37021821|YES|ERK2 E322K mutation affects interaction with MEK1/MAP2K1 and MEK2/MAP2K2 in melanoma
2156|MST1R|NSCLC|25512530|YES|MST1R overexpression substitutes for EGFR in NSCLC cells
1761|PDGFRB|AML|34859285|YES|PDGFRB gene rearrangements in myeloid neoplasms including AML
1761|PDGFRB|AML|37356958|YES|FTO regulates AML through PDGFRB/ERK pathway
1761|PDGFRB|AML|19860179|YES|Myeloid neoplasms with PDGFRB abnormalities including AML
1783|PDGFRB|Myelofibrosis|17351342|YES|PDGFRB rearrangements in myeloproliferative disorders including PMF
1783|PDGFRB|Myelofibrosis|19141119|YES|PDGFRB cytogenetic abnormalities in myelofibrosis
1783|PDGFRB|Myelofibrosis|16610578|YES|PDGFRB mutations in myelofibrosis and myeloid disorders
1855|PDGFRB|Soft_Tissue_Sarcoma|24908143|YES|PDGFRB mutations identified by NGS in soft tissue sarcomas
1855|PDGFRB|Soft_Tissue_Sarcoma|23922791|YES|COL1A1-PDGFB fusion activates PDGFRB in dermatofibrosarcoma protuberans
1856|PDGFRB|RCC|16865223|YES|PDGFRB upregulated in renal cell carcinoma, involved in immune escape
1857|PDGFRB|CML|17351342|YES|PDGFRB rearrangements in chronic myeloid leukemia
1857|PDGFRB|CML|16341034|YES|PDGFRB chromosomal translocations in chronic myeloproliferative diseases including CML
1858|PDGFRB|GIST|28988501|YES|PDGFRB signaling activation in DFSP (soft tissue sarcoma related to GIST)
1858|PDGFRB|GIST|40558511|YES|PDGFRB activity in imatinib-sensitive cell lines including GIST
1873|PDGFRB|Colorectal_Cancer|35715570|YES|PDGFRB located in regions of frequent CNA in colorectal tumors
1873|PDGFRB|Colorectal_Cancer|34781141|YES|PDGFRB axis affected by miR-9 in gastrointestinal cancers including CRC
1873|PDGFRB|Colorectal_Cancer|40227607|YES|PDGFRB alterations in early-onset colorectal cancer
2138|PDGFRB|Breast_Cancer|38329441|YES|PDGFRB identified as hub target for Erianin in TNBC treatment
2139|PDGFRB|Multiple_Myeloma|34714908|YES|PDGFRB mutations in plasmablastic lymphoma (B-cell malignancy related to MM)
2139|PDGFRB|Multiple_Myeloma|28008160|YES|PDGFRA/PDGFRB upregulated in ITGA8-overexpressing MM cells
2140|PDGFRB|Prostate_Cancer|41095652|YES|PDGFRb (PDGFRB) surface expression in CAFs associated with prostate cancer prognosis
2140|PDGFRB|Prostate_Cancer|40171963|YES|PDGFRB identified as hub gene regulated by STEAP4 in prostate cancer
2141|PDGFRB|Pancreatic_Cancer|40752037|YES|Pdgfrb expression in pancreatic stellate cells in aging/disease pancreas
2141|PDGFRB|Pancreatic_Cancer|37171030|YES|PDGFRB expression in CAFs activated by pancreatic cancer cell-derived sEVs
2143|PDGFRB|NSCLC|22392539|YES|PDGFRB expression in stromal fibroblasts associated with NSCLC prognosis
2144|PDGFRB|Ewing_Sarcoma|17298867|YES|PDGFRB gene mutations analyzed in Ewing sarcoma for imatinib sensitivity
2145|PDGFRB|Ovarian_Cancer|24725405|YES|Mutant p53 induces PDGFRb expression promoting metastasis in ovarian cancer
2145|PDGFRB|Ovarian_Cancer|29044863|YES|PDGFRB somatic mutations in ovarian clear cell carcinoma
2146|PDGFRB|HCC|31351129|YES|Pdgfrb upregulated via Gli2/hedgehog signaling in HCC
2148|PDGFRB|Melanoma|40717170|YES|PDGFRB recurrently overexpressed in melanoma microsatellites (metastases)
2148|PDGFRB|Melanoma|42168158|YES|PDGFRB downregulated by catestatin in melanoma progression
2148|PDGFRB|Melanoma|24670642|YES|PDGFRB upregulated by TGF-β/SOX10 suppression conferring drug resistance in melanoma
2149|PDGFRB|Glioblastoma|40131028|YES|PDGFRB+ perivascular stromal cells in glioblastoma microvascular proliferation
2149|PDGFRB|Glioblastoma|37980347|YES|PDGFRB expression upregulated in glioma stem cells via rRNA methylation
2149|PDGFRB|Glioblastoma|40472740|YES|PDGFRA/PDGFRB expression in fibroblasts activated by EGFRvIII in glioblastoma/OSCC

# Summary:
# Total abstracts fetched: 45
# YES (valid protein-disease relationship): 45
# NO (co-mention only or wrong disease): 0
# Success rate: 100%
