review_id,drug,disease,mechanism_target,terminal_relation,terminal_tier,direction,papers_drug_plus_cancer,papers_drug_in_cancer_overall,novelty_class,cheap_generic,VERDICT,why,negative_evidence_found,what_kind_of_negative_evidence
R01,Carboplatin,CLL,TP53,driver_of,,NOT_ASSESSED,6,13940,KNOWN_DRUG_NEW_CANCER,YES,,,,
R02,Ribociclib,Soft_Tissue_Sarcoma,CDK4,driver_of,,COHERENT,4,1153,KNOWN_DRUG_NEW_CANCER,,,,,
R03,Cisplatin,Li_Fraumeni_Syndrome,TP53,driver_of,,COHERENT,11,51127,KNOWN_DRUG_NEW_CANCER,YES,,,,
R04,Mebendazole,HCC,VEGFR2,driver_of,,COHERENT,2,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
R05,Venetoclax,Myelofibrosis,Ruxolitinib,treats,,NOT_ASSESSED,17,713,KNOWN_DRUG_NEW_CANCER,,,,,
R06,Disulfiram,Li_Fraumeni_Syndrome,TP53,driver_of,,COHERENT,0,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
R07,Mebendazole,RCC,VEGFR2,driver_of,,COHERENT,0,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
R08,Sotorasib,Melanoma,MAP2K1,driver_of,,COHERENT,3,509,KNOWN_DRUG_NEW_CANCER,,,,,
R09,Chloroquine,Li_Fraumeni_Syndrome,TP53,driver_of,,COHERENT,1,1971,KNOWN_DRUG_NEW_CANCER,YES,,,,
R10,Cimetidine,RCC,VEGFR2,driver_of,,COHERENT,11,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
R11,Beperminogene Perplasmid,NSCLC,MET,driver_of,,NOT_ASSESSED,0,0,UNEXPLORED_DRUG,,,,,
R12,Carboplatin,Li_Fraumeni_Syndrome,TP53,driver_of,,COHERENT,3,13940,KNOWN_DRUG_NEW_CANCER,YES,,,,
R13,Itraconazole,HCC,VEGFR2,driver_of,,COHERENT,8,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
R14,Diclofenac,Multiple_Myeloma,MYC,driver_of,,NOT_ASSESSED,2,463,KNOWN_DRUG_NEW_CANCER,,,,,
R15,Mebendazole,Li_Fraumeni_Syndrome,TP53,driver_of,,COHERENT,0,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
