pmid,resolves,ncbi_error,title,pubdate,review_rows,relevance_assessment,review_note
17699365,YES,,Multiple myeloma.,2006 Nov,R52,,
19589728,YES,,Inflammation and colorectal cancer.,2009 Aug,R56,,
22389471,YES,,"Combinations of BRAF, MEK, and PI3K/mTOR inhibitors overcome acquired resistance to the BRAF inhibitor GSK2118436 dabrafenib, mediated by NRAS or MEK mutations.",2012 Apr,R08,,
23177518,NO,cannot get document summary,,,R42;R44,,
27741508,YES,,Androgen receptor-dependent and -independent mechanisms driving prostate cancer progression: Opportunities for therapeutic targeting from multiple angles.,2017 Jan 10,R20,,
31276706,YES,,TP53 in bone and soft tissue sarcomas.,2019 Oct,R33;R35;R39;R43,,
31327527,YES,,"An Integrative Model of Cellular States, Plasticity, and Genetics for Glioblastoma.",2019 Aug 8,R18;R21;R24;R27,,
32976798,YES,,Onco-fetal Reprogramming of Endothelial Cells Drives Immunosuppressive Macrophages in Hepatocellular Carcinoma.,2020 Oct 15,R04;R13;R41;R47;R58,,
36901951,YES,,Response and Resistance to Trametinib in MAP2K1-Mutant Triple-Negative Melanoma.,2023 Feb 24,R08,,
38064865,YES,,Long non-coding RNA HIF1A-AS2 promotes carcinogenesis by enhancing Gli1-mediated HIF1α expression in clear cell renal cell carcinoma.,2024 Jan,R49,,
38868177,YES,,Amiloride reduces fructosamine-3-kinase expression to restore sunitinib sensitivity in renal cell carcinoma.,2024 Jun 21,R07;R10;R22;R28;R46;R59,,
39796641,YES,,Novel Therapeutics in Soft Tissue Sarcoma.,2024 Dec 24,R02;R53;R60,,
41554087,YES,,Oncogenic Alterations in PI3K Signaling Emulated Optogenetically Recapitulate Some Phenotypic Changes in Mammary Epithelia.,2026 Feb 20,R23,,
41635891,YES,,To screen or not to screen: complexity of SDHA mutation management.,2026 Jan,R17;R29,,
41991667,YES,,Outcomes of allogeneic transplantation in blast-phase myeloproliferative neoplasms: one-third achieve long-term survival.,2026 Jun,R36;R38;R54,,
42074235,YES,,SGLT2 Inhibitor Dapagliflozin Attenuates Cardiomyocyte Injury and Inflammation Induced by PI3Kα-Selective Inhibitor Alpelisib and Fulvestrant Under Hyperglycemia.,2026 Apr 17,R50,,
42092950,YES,,Klf4-Tymp axis promotes inflammation-driven early tumorigenesis by enhancing kras mutation-induced acinar-to-ductal metaplasia through Pi3k/Akt and Mek/Erk pathways.,2026 May 7,R31;R40,,
42126185,YES,,"CD24 in Melanoma: Biomarker, Innate Immune Checkpoint and Emerging Therapeutic Target.",2026 May,R25,,
42171355,YES,,Describing the use of ruxolitinib for the treatment of myelofibrosis: a plain language summary of the ROMEI early study results.,2026 Jun,R05,,
42171906,YES,,Genotypic and phenotypic characteristics of germline TP53 variant carriers: experience from two cancer genetic counseling units.,2026 May 22,R03;R06;R09;R12;R15;R30,,
42198431,YES,,Dual FLT3/MAPK14 Proteolysis-Targeting Chimera (PROTAC) Induces Potent Acute Myeloid Leukemia Cell Death.,2026 May 12,R32,,
