drug,drug_inn,disease,mechanism_target,terminal_relation,mechanism_strength,composite_confidence,pubmed_comentions,pubmed_drug_in_cancer,novelty_class,known_cheap_generic,any_trial_or_paper_found,verdict_WORTH_READING_TRIED_WRONG,checker_note,target_zone
Avapritinib,Avapritinib,GIST,KIT,driver_of,DIRECTED,0.98,98,30,UNEXPLORED_DRUG,,,,,
Dasatinib Anhydrous,Dasatinib,GIST,KIT,driver_of,DIRECTED,0.98,32,1413,WELL_STUDIED_PAIR,,,,,
Baricitinib,Baricitinib,Myelofibrosis,JAK2,driver_of,DIRECTED,0.97,11,77,KNOWN_DRUG_NEW_CANCER,,,,,TARGET_ZONE
Deuruxolitinib,Deuruxolitinib,Myelofibrosis,JAK2,driver_of,DIRECTED,0.97,0,1,UNEXPLORED_DRUG,,,,,TARGET_ZONE
Fedratinib,Fedratinib,Myelofibrosis,JAK2,driver_of,DIRECTED,0.97,173,33,UNEXPLORED_DRUG,,,,,
Filgotinib,Filgotinib,Myelofibrosis,JAK2,driver_of,DIRECTED,0.97,1,41,UNEXPLORED_DRUG,,,,,TARGET_ZONE
Amivantamab,Amivantamab,NSCLC,EGFR,driver_of,DIRECTED,0.95,255,319,WELL_STUDIED_PAIR,,,,,
Dacomitinib,Dacomitinib,NSCLC,EGFR,driver_of,DIRECTED,0.95,205,352,WELL_STUDIED_PAIR,,,,,
Dacomitinib,Dacomitinib,Breast_Cancer,ERBB2,driver_of,DIRECTED,0.95,24,352,KNOWN_DRUG_NEW_CANCER,,,,,TARGET_ZONE
Lazertinib,Lazertinib,NSCLC,EGFR,driver_of,DIRECTED,0.95,138,145,WELL_STUDIED_PAIR,,,,,
Apalutamide,Apalutamide,Prostate_Cancer,AR,driver_of,DIRECTED,0.95,751,761,WELL_STUDIED_PAIR,,,,,
Bicalutamide,Bicalutamide,Prostate_Cancer,AR,driver_of,DIRECTED,0.95,1318,1444,WELL_STUDIED_PAIR,YES,,,,
Clascoterone,Clascoterone,Prostate_Cancer,AR,driver_of,DIRECTED,0.95,0,0,UNEXPLORED_DRUG,,,,,TARGET_ZONE
Danazol,Danazol,Prostate_Cancer,AR,driver_of,DIRECTED,0.95,7,145,KNOWN_DRUG_NEW_CANCER,,,,,TARGET_ZONE
Darolutamide,Darolutamide,Prostate_Cancer,AR,driver_of,DIRECTED,0.95,509,516,WELL_STUDIED_PAIR,,,,,
Dromostanolone Propionate,Dromostanolone,Prostate_Cancer,AR,driver_of,DIRECTED,0.95,0,3,UNEXPLORED_DRUG,,,,,TARGET_ZONE
Enzalutamide,Enzalutamide,Prostate_Cancer,AR,driver_of,DIRECTED,0.95,3740,3871,WELL_STUDIED_PAIR,,,,,
Ethylestrenol,Ethylestrenol,Prostate_Cancer,AR,driver_of,DIRECTED,0.95,0,0,UNEXPLORED_DRUG,,,,,TARGET_ZONE
Fluoxymesterone,Fluoxymesterone,Prostate_Cancer,AR,driver_of,DIRECTED,0.95,7,62,KNOWN_DRUG_NEW_CANCER,,,,,TARGET_ZONE
Flutamide,Flutamide,Prostate_Cancer,AR,driver_of,DIRECTED,0.95,844,1081,WELL_STUDIED_PAIR,,,,,
Clomiphene,Clomiphene,Breast_Cancer,ESR1,driver_of,DIRECTED,0.95,94,202,WELL_STUDIED_PAIR,,,,,
Dienestrol,Dienestrol,Breast_Cancer,ESR1,driver_of,DIRECTED,0.95,4,12,UNEXPLORED_DRUG,,,,,TARGET_ZONE
Diethylstilbestrol,Diethylstilbestrol,Breast_Cancer,ESR1,driver_of,DIRECTED,0.95,310,1128,WELL_STUDIED_PAIR,,,,,
Elacestrant,Elacestrant,Breast_Cancer,ESR1,driver_of,DIRECTED,0.95,107,107,WELL_STUDIED_PAIR,,,,,
