morphism_id,source,relation,target,evidence_tier,source_type,validation_status,citation_status,quantitative_status,pmid_count,pmids,has_context,has_full_text,source_mentioned,target_mentioned,endpoint_context_match,relation_support_heuristic,relation_context_support,quantitative_value_support,risk_flags
,FLT3,associated_with,Lymphoma,HYPOTHESIS,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,BCL2,associated_with,Lymphoma,HYPOTHESIS,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,BCL2,associated_with,Hepatocellular_Carcinoma,HYPOTHESIS,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,BCL2,associated_with,Renal_Cell_Carcinoma,HYPOTHESIS,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,NRAS,associated_with,Lymphoma,HYPOTHESIS,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,NRAS,associated_with,Hepatocellular_Carcinoma,HYPOTHESIS,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,NRAS,associated_with,Renal_Cell_Carcinoma,HYPOTHESIS,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,STAT5A,associated_with,Lymphoma,HYPOTHESIS,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,STAT5A,associated_with,Hepatocellular_Carcinoma,HYPOTHESIS,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,TP53,associated_with,Lymphoma,HYPOTHESIS,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,TP53,associated_with,Hepatocellular_Carcinoma,HYPOTHESIS,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,TP53,associated_with,Renal_Cell_Carcinoma,HYPOTHESIS,unknown_or_internal,unclassified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,Ovarian_Cancer,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,Multiple_Myeloma,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,Ewing_Sarcoma,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,RCC,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,Li_Fraumeni_Syndrome,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,Melanoma,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,AML,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,CLL,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,Soft_Tissue_Sarcoma,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,Myelofibrosis,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,Type2_Diabetes,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,Prostate_Cancer,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,CML,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,PI3KCA,associated_with,GIST,HYPOTHESIS,manual_curated_biology,curated_assertion,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,ABCB1,associated_with,AML,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,35628366,False,False,False,False,False,False,False,none,pmid_without_context
,ABCB1,associated_with,Breast_Cancer,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,31679234,False,False,False,False,False,False,False,none,pmid_without_context
,AMPK,associated_with,Breast_Cancer,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,32425881,False,False,False,False,False,False,False,none,pmid_without_context
,AMPK,associated_with,Colorectal_Cancer,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,39992728,False,False,False,False,False,False,False,none,pmid_without_context
,AMPK,associated_with,Pancreatic_Cancer,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,38802657,False,False,False,False,False,False,False,none,pmid_without_context
,AMPK,associated_with,Type2_Diabetes,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,37577690,False,False,False,False,False,False,False,none,pmid_without_context
,BCL2,associated_with,AML,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,35797463,False,False,False,False,False,False,False,none,pmid_without_context
,BRAF,associated_with,Colorectal_Cancer,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,40240371,False,False,False,False,False,False,False,none,pmid_without_context
,BRAF,associated_with,HCC,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,37537299,False,False,False,False,False,False,False,none,pmid_without_context
,BRCA1,associated_with,Breast_Cancer,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,7894491,False,False,False,False,False,False,False,none,pmid_without_context
,BRCA1,associated_with,Ovarian_Cancer,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,7894491,False,False,False,False,False,False,False,none,pmid_without_context
,BRCA2,associated_with,Breast_Cancer,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,8524414,False,False,False,False,False,False,False,none,pmid_without_context
,BRCA2,associated_with,Ovarian_Cancer,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,35159349,False,False,False,False,False,False,False,none,pmid_without_context
,BRCA2,associated_with,Pancreatic_Cancer,HYPOTHESIS,literature_co_mention,unverified_literature,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,CD163,associated_with,Ovarian_Cancer,HYPOTHESIS,literature_citation,citation_unverified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,CD274,associated_with,NSCLC,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,39137401,False,False,False,False,False,False,False,none,pmid_without_context
,CD4,associated_with,Melanoma,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,37001503,False,False,False,False,False,False,False,none,pmid_without_context
,CD68,associated_with,Colorectal_Cancer,HYPOTHESIS,literature_citation,citation_unverified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,CD68,associated_with,Pancreatic_Cancer,HYPOTHESIS,literature_citation,citation_unverified,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
,CDK4,associated_with,Breast_Cancer,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,33369721,False,False,False,False,False,False,False,none,pmid_without_context
,CDK6,associated_with,Breast_Cancer,HYPOTHESIS,literature_citation,citation_unverified,pmid_identifier_only,no_quantitative_value,1,33812473,False,False,False,False,False,False,False,none,pmid_without_context
,CHEK2,associated_with,Li_Fraumeni_Syndrome,HYPOTHESIS,literature_co_mention,unverified_literature,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
