rank,drug,drug_inn,disease,composite,via,hop1,hop2,terminal,already_verified_real,status_APPROVED_TRIAL_PRECLIN_FAILED_NONE,source_url,checker_note
1,Avapritinib,Avapritinib,GIST,0.98,KIT,inhibits,driver_of,DIRECTED,YES,APPROVED,,confirmed in 2026-07-31 curation
2,Dasatinib Anhydrous,Dasatinib,GIST,0.98,KIT,inhibits,driver_of,DIRECTED,,NONE,,no approval found for this indication
3,Baricitinib,Baricitinib,Myelofibrosis,0.97,JAK2,inhibits,driver_of,DIRECTED,,NONE,,no approval found for this indication
4,Deuruxolitinib,Deuruxolitinib,Myelofibrosis,0.97,JAK2,inhibits,driver_of,DIRECTED,,NONE,,no approval found for this indication
5,Fedratinib,Fedratinib,Myelofibrosis,0.97,JAK2,inhibits,driver_of,DIRECTED,YES,APPROVED,,confirmed in 2026-07-31 curation
6,Filgotinib,Filgotinib,Myelofibrosis,0.97,JAK2,inhibits,driver_of,DIRECTED,,NONE,,no approval found for this indication
7,Amivantamab,Amivantamab,NSCLC,0.95,EGFR,inhibits,driver_of,DIRECTED,YES,APPROVED,,confirmed in 2026-07-31 curation
8,Dacomitinib,Dacomitinib,NSCLC,0.95,EGFR,inhibits,driver_of,DIRECTED,YES,APPROVED,,confirmed in 2026-07-31 curation
9,Dacomitinib,Dacomitinib,Breast_Cancer,0.95,ERBB2,inhibits,driver_of,DIRECTED,,NONE,,no approval found for this indication
10,Lazertinib,Lazertinib,NSCLC,0.95,EGFR,inhibits,driver_of,DIRECTED,,APPROVED,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-lazertinib-amivantamab-vmjw-non-small-lung-cancer,Approved WITH amivantamab. Combination-only. Missed label.
11,Adagrasib,Adagrasib,Pancreatic_Cancer,0.9409,KRAS,inhibits,driver_of,DIRECTED,,TRIAL,,KRAS G12C pancreatic under active investigation; no approval.
12,Sotorasib,Sotorasib,Pancreatic_Cancer,0.9409,KRAS,inhibits,driver_of,DIRECTED,,TRIAL,,KRAS G12C pancreatic under active investigation; no approval.
13,Trastuzumab_deruxtecan,Trastuzumab_deruxtecan,Breast_Cancer,0.931,ERBB2,inhibits,driver_of,DIRECTED,YES,APPROVED,,confirmed in 2026-07-31 curation
14,Ceritinib,Ceritinib,NSCLC,0.92,ALK,inhibits,driver_of,DIRECTED,,APPROVED,https://www.fda.gov/drugs/resources-information-approved-drugs/,"ALK+ NSCLC after crizotinib. ORR 44%, ASCEND. Missed label."
15,Ensartinib,Ensartinib,NSCLC,0.92,ALK,inhibits,driver_of,DIRECTED,,NEEDS_CHECK,,ALK inhibitor; a US approval is plausible but I did not confirm it. Check before counting.
16,Lorlatinib,Lorlatinib,NSCLC,0.9108,ALK,inhibits,driver_of,DIRECTED,YES,APPROVED,,confirmed in 2026-07-31 curation
17,Afatinib,Afatinib,Breast_Cancer,0.9025,ERBB2,inhibits,driver_of,DIRECTED,,NONE,,no approval found for this indication
18,Cetuximab,Cetuximab,NSCLC,0.9025,EGFR,inhibits,driver_of,DIRECTED,,NONE,,no approval found for this indication
19,Brigatinib,Brigatinib,NSCLC,0.9016,ALK,inhibits,driver_of,DIRECTED,YES,APPROVED,,confirmed in 2026-07-31 curation
20,Daunorubicin,Daunorubicin,Breast_Cancer,0.9,TOP2A,inhibits,driver_of,DIRECTED,,NONE,,no approval found for this indication
21,Doxorubicin,Doxorubicin,Breast_Cancer,0.9,TOP2A,inhibits,driver_of,DIRECTED,,APPROVED,https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/062921s022lbl.pdf,Adriamycin label includes breast carcinoma. Long-standing. Missed label.
22,Etoposide,Etoposide,Breast_Cancer,0.9,TOP2A,inhibits,driver_of,DIRECTED,,NONE,,no approval found for this indication
23,Idarubicin,Idarubicin,Breast_Cancer,0.9,TOP2A,inhibits,driver_of,DIRECTED,,NONE,,no approval found for this indication
24,Fedratinib,Fedratinib,AML,0.9,FLT3,inhibits,driver_of,DIRECTED,,NONE,,no approval found for this indication
25,Gilteritinib,Gilteritinib,AML,0.9,FLT3,inhibits,driver_of,DIRECTED,YES,APPROVED,,confirmed in 2026-07-31 curation
26,Lapatinib,Lapatinib,NSCLC,0.893,EGFR,inhibits,driver_of,DIRECTED,,NONE,,no approval found for this indication
