impact,rank_in_disease,disease,drug,drug_inn,score,status_to_determine,biomarker_restriction,line_of_therapy,approval_year,source_url,curator_note
1.0,1,AML,Fedratinib,Fedratinib,0.9251,,,,,,
1.0,1,Breast_Cancer,Dacomitinib Anhydrous,Dacomitinib,0.9644,,,,,,
1.0,1,Colorectal_Cancer,Adagrasib,Adagrasib,0.9137,,,,,,
1.0,1,Ewing_Sarcoma,Imatinib,Imatinib,0.7454,,,,,,
1.0,1,Glioblastoma,Osimertinib,Osimertinib,0.9116,,,,,,
1.0,1,HCC,Cabozantinib S-Malate,Cabozantinib,0.891,,,,,,
1.0,1,Li_Fraumeni_Syndrome,Cisplatin,Cisplatin,0.8502,,,,,,
1.0,1,Pancreatic_Cancer,Adagrasib,Adagrasib,0.939,,,,,,
1.0,1,Prostate_Cancer,Selpercatinib,Selpercatinib,0.7209,,,,,,
1.0,1,Soft_Tissue_Sarcoma,Palbociclib,Palbociclib,0.8485,,,,,,
0.5,2,AML,Sunitinib,Sunitinib,0.9096,,,,,,
0.5,2,CLL,Ipilimumab,Ipilimumab,0.7418,,,,,,
0.5,2,CML,Sunitinib,Sunitinib,0.8947,,,,,,
0.5,2,Colorectal_Cancer,Sotorasib,Sotorasib,0.9128,,,,,,
0.5,2,Ewing_Sarcoma,Dasatinib Anhydrous,Dasatinib,0.7371,,,,,,
0.5,2,Glioblastoma,Erlotinib,Erlotinib,0.9049,,,,,,
0.5,2,HCC,Selpercatinib,Selpercatinib,0.8608,,,,,,
0.5,2,Li_Fraumeni_Syndrome,Oxaliplatin,Oxaliplatin,0.841,,,,,,
0.5,2,Multiple_Myeloma,Ipilimumab,Ipilimumab,0.7146,,,,,,
0.5,2,Myelofibrosis,Filgotinib,Filgotinib,0.9232,,,,,,
0.5,2,Ovarian_Cancer,Doxycycline Hyclate,Doxycycline,0.8151,,,,,,
0.5,2,Pancreatic_Cancer,Sotorasib,Sotorasib,0.9382,,,,,,
0.5,2,Prostate_Cancer,Pralsetinib,Pralsetinib,0.7209,,,,,,
0.5,2,Soft_Tissue_Sarcoma,Abemaciclib,Abemaciclib,0.8459,,,,,,
0.5,2,Type2_Diabetes,Palbociclib,Palbociclib,0.7135,,,,,,
0.3333,3,AML,Gilteritinib,Gilteritinib,0.8971,,,,,,
0.3333,3,Breast_Cancer,Afatinib,Afatinib,0.9585,,,,,,
0.3333,3,CLL,Doxycycline Hyclate,Doxycycline,0.7371,,,,,,
0.3333,3,CML,Dasatinib Anhydrous,Dasatinib,0.8918,,,,,,
0.3333,3,Colorectal_Cancer,Osimertinib,Osimertinib,0.877,,,,,,
0.3333,3,Ewing_Sarcoma,Bosutinib,Bosutinib,0.7371,,,,,,
0.3333,3,Glioblastoma,Lazertinib,Lazertinib,0.8951,,,,,,
0.3333,3,HCC,Pralsetinib,Pralsetinib,0.8608,,,,,,
0.3333,3,Li_Fraumeni_Syndrome,Carboplatin,Carboplatin,0.8318,,,,,,
0.3333,3,Multiple_Myeloma,Palbociclib,Palbociclib,0.7135,,,,,,
0.3333,3,Myelofibrosis,Fedratinib,Fedratinib,0.9232,,,,,,
0.3333,3,Ovarian_Cancer,Cisplatin,Cisplatin,0.8048,,,,,,
0.3333,3,Pancreatic_Cancer,Osimertinib,Osimertinib,0.7731,,,,,,
0.3333,3,Prostate_Cancer,Bevacizumab,Bevacizumab,0.7199,,,,,,
0.3333,3,RCC,Avapritinib,Avapritinib,0.8918,,,,,,
0.3333,3,Soft_Tissue_Sarcoma,Sunitinib,Sunitinib,0.8444,,,,,,
0.3333,3,Type2_Diabetes,Ribociclib,Ribociclib,0.7084,,,,,,
0.25,4,AML,Trametinib,Trametinib,0.8651,,,,,,
0.25,4,CLL,Bevacizumab,Bevacizumab,0.7199,,,,,,
0.25,4,CML,Avapritinib,Avapritinib,0.8918,,,,,,
0.25,4,Colorectal_Cancer,Doxycycline,Doxycycline,0.8765,,,,,,
0.25,4,Ewing_Sarcoma,Asciminib,Asciminib,0.7371,,,,,,
0.25,4,GIST,Dasatinib Anhydrous,Dasatinib,0.959,,,,,,
0.25,4,Glioblastoma,Dacomitinib Anhydrous,Dacomitinib,0.8951,,,,,,
0.25,4,HCC,Crizotinib,Crizotinib,0.8605,,,,,,
0.25,4,Li_Fraumeni_Syndrome,Palbociclib,Palbociclib,0.7135,,,,,,
0.25,4,Multiple_Myeloma,Ribociclib,Ribociclib,0.7084,,,,,,
0.25,4,Myelofibrosis,Deuruxolitinib,Deuruxolitinib,0.9232,,,,,,
0.25,4,NSCLC,Lapatinib,Lapatinib,0.962,,,,,,
0.25,4,Ovarian_Cancer,Oxaliplatin,Oxaliplatin,0.7994,,,,,,
0.25,4,Prostate_Cancer,Larotrectinib,Larotrectinib,0.7155,,,,,,
0.25,4,RCC,Imatinib,Imatinib,0.8595,,,,,,
0.25,4,Soft_Tissue_Sarcoma,Ribociclib,Ribociclib,0.842,,,,,,
0.25,4,Type2_Diabetes,Abemaciclib,Abemaciclib,0.7068,,,,,,
0.2,5,AML,Sotorasib,Sotorasib,0.8642,,,,,,
0.2,5,Breast_Cancer,Trastuzumab_deruxtecan,Trastuzumab_deruxtecan,0.9042,,,,,,
0.2,5,CLL,Palbociclib,Palbociclib,0.7135,,,,,,
0.2,5,CML,Bosutinib,Bosutinib,0.8431,,,,,,
0.2,5,Colorectal_Cancer,Dacomitinib Anhydrous,Dacomitinib,0.8738,,,,,,
0.2,5,Ewing_Sarcoma,Dacomitinib Anhydrous,Dacomitinib,0.7184,,,,,,
0.2,5,GIST,Selpercatinib,Selpercatinib,0.8608,,,,,,
0.2,5,Glioblastoma,Afatinib,Afatinib,0.8899,,,,,,
0.2,5,Li_Fraumeni_Syndrome,Ribociclib,Ribociclib,0.7084,,,,,,
0.2,5,Multiple_Myeloma,Abemaciclib,Abemaciclib,0.7068,,,,,,
0.2,5,Myelofibrosis,Baricitinib,Baricitinib,0.9232,,,,,,
0.2,5,Ovarian_Cancer,Carboplatin,Carboplatin,0.7907,,,,,,
0.2,5,Pancreatic_Cancer,Larotrectinib,Larotrectinib,0.7586,,,,,,
0.2,5,Prostate_Cancer,Palbociclib,Palbociclib,0.7135,,,,,,
0.2,5,Soft_Tissue_Sarcoma,Avapritinib,Avapritinib,0.8193,,,,,,
0.2,5,Type2_Diabetes,Trametinib,Trametinib,0.692,,,,,,
0.1667,6,AML,Inavolisib,Inavolisib,0.8542,,,,,,
0.1667,6,CLL,Ribociclib,Ribociclib,0.7084,,,,,,
0.1667,6,CML,Asciminib,Asciminib,0.8431,,,,,,
0.1667,6,Colorectal_Cancer,Erlotinib,Erlotinib,0.8706,,,,,,
0.1667,6,Ewing_Sarcoma,Afatinib,Afatinib,0.7184,,,,,,
0.1667,6,GIST,Pralsetinib,Pralsetinib,0.8608,,,,,,
0.1667,6,Glioblastoma,Gefitinib,Gefitinib,0.8897,,,,,,
0.1667,6,Li_Fraumeni_Syndrome,Abemaciclib,Abemaciclib,0.7068,,,,,,
0.1667,6,Multiple_Myeloma,Ibalizumab,Ibalizumab,0.7018,,,,,,
0.1667,6,Myelofibrosis,Palbociclib,Palbociclib,0.7135,,,,,,
0.1667,6,Ovarian_Cancer,Crizotinib,Crizotinib,0.7244,,,,,,
0.1667,6,Pancreatic_Cancer,Gefitinib,Gefitinib,0.754,,,,,,
0.1667,6,Prostate_Cancer,Ribociclib,Ribociclib,0.7084,,,,,,
0.1667,6,RCC,Encorafenib,Encorafenib,0.8528,,,,,,
0.1667,6,Soft_Tissue_Sarcoma,Imatinib,Imatinib,0.7913,,,,,,
0.1667,6,Type2_Diabetes,Ipilimumab,Ipilimumab,0.6889,,,,,,
0.1429,7,AML,Copanlisib,Copanlisib,0.8542,,,,,,
0.1429,7,Breast_Cancer,Inavolisib,Inavolisib,0.9008,,,,,,
0.1429,7,CLL,Abemaciclib,Abemaciclib,0.7068,,,,,,
0.1429,7,CML,Bevacizumab,Bevacizumab,0.7199,,,,,,
0.1429,7,Colorectal_Cancer,Afatinib,Afatinib,0.8665,,,,,,
0.1429,7,Ewing_Sarcoma,Palbociclib,Palbociclib,0.7135,,,,,,
0.1429,7,GIST,Gilteritinib,Gilteritinib,0.8431,,,,,,
0.1429,7,Glioblastoma,Amivantamab,Amivantamab,0.8784,,,,,,
0.1429,7,HCC,Tepotinib,Tepotinib,0.8402,,,,,,
0.1429,7,Li_Fraumeni_Syndrome,Mebendazole,Mebendazole,0.6967,,,,,,
0.1429,7,Multiple_Myeloma,Trametinib,Trametinib,0.692,,,,,,
0.1429,7,Myelofibrosis,Ribociclib,Ribociclib,0.7084,,,,,,
0.1429,7,Ovarian_Cancer,Lorlatinib,Lorlatinib,0.7209,,,,,,
0.1429,7,Pancreatic_Cancer,Lazertinib,Lazertinib,0.7538,,,,,,
0.1429,7,Prostate_Cancer,Abemaciclib,Abemaciclib,0.7068,,,,,,
0.1429,7,Soft_Tissue_Sarcoma,Dasatinib Anhydrous,Dasatinib,0.7724,,,,,,
0.1429,7,Type2_Diabetes,Everolimus,Everolimus,0.6709,,,,,,
0.125,8,AML,Alpelisib,Alpelisib,0.8542,,,,,,
0.125,8,Breast_Cancer,Copanlisib,Copanlisib,0.9008,,,,,,
0.125,8,CLL,Floxuridine,Floxuridine,0.7018,,,,,,
0.125,8,CML,Palbociclib,Palbociclib,0.7135,,,,,,
0.125,8,Colorectal_Cancer,Selpercatinib,Selpercatinib,0.8608,,,,,,
0.125,8,Ewing_Sarcoma,Ribociclib,Ribociclib,0.7084,,,,,,
0.125,8,GIST,Fedratinib,Fedratinib,0.8431,,,,,,
0.125,8,Glioblastoma,Lapatinib,Lapatinib,0.8683,,,,,,
0.125,8,HCC,Capmatinib,Capmatinib,0.8402,,,,,,
0.125,8,Li_Fraumeni_Syndrome,Trametinib,Trametinib,0.692,,,,,,
0.125,8,Multiple_Myeloma,Everolimus,Everolimus,0.6709,,,,,,
0.125,8,Myelofibrosis,Abemaciclib,Abemaciclib,0.7068,,,,,,
0.125,8,Ovarian_Cancer,Pembrolizumab,Pembrolizumab,0.7201,,,,,,
0.125,8,Pancreatic_Cancer,Dacomitinib Anhydrous,Dacomitinib,0.7538,,,,,,
0.125,8,Prostate_Cancer,Entrectinib,Entrectinib,0.7048,,,,,,
0.125,8,RCC,Vemurafenib,Vemurafenib,0.8464,,,,,,
0.125,8,Soft_Tissue_Sarcoma,Cisplatin,Cisplatin,0.7661,,,,,,
0.125,8,Type2_Diabetes,Disulfiram,Disulfiram,0.6687,,,,,,
0.1111,9,AML,Adagrasib,Adagrasib,0.8528,,,,,,
0.1111,9,Breast_Cancer,Alpelisib,Alpelisib,0.9008,,,,,,
0.1111,9,CLL,Faricimab,Faricimab,0.7018,,,,,,
0.1111,9,CML,Ribociclib,Ribociclib,0.7084,,,,,,
