priority,protein,drugs_unlocked,cumulative,example_drugs,disease_node,relation_driver_of_or_associated_with,confidence_0_to_1,pmid_or_source,curator_note
1,HRH1,36,36,Acrivastine; Alcaftadine; Antazoline; Astemizole; Azatadine; Azelastine,,,,,
2,NR3C1,35,71,Alclometasone Dipropionate; Amcinonide; Beclomethasone Dipropionate; Betamethasone; Betamethasone Benzoate; Betamethasone Dipropionate,,,,,
3,SLC6A2,27,98,Amitriptyline; Amoxapine; Amphetamine; Amphetamine Adipate; Amphetamine Aspartate; Atomoxetine,,,,,
4,INSR,21,119,Insulin Aspart; Insulin Aspart Protamine Recombinant; Insulin Degludec; Insulin Detemir; Insulin Glargine; Insulin Glulisine,,,,,
5,CHRM3,17,136,Acetylcholine; Aclidinium; Anisotropine Methylbromide; Atropine; Bethanechol; Carbachol,,,,,
6,DRD2,16,152,Acetophenazine; Aripiprazole; Aripiprazole Lauroxil; Asenapine; Benzquinamide; Blonanserin,,,,,
7,OPRM1,15,167,Alfentanil; Alvimopan; Anileridine; Buprenorphine; Butorphanol; Dezocine,,,,,
8,CHRM1,15,182,Anisotropine Methylbromide; Atropine; Benztropine; Biperiden; Biperiden Lactate; Cevimeline,,,,,
9,HTR2A,15,197,Aripiprazole; Aripiprazole Lauroxil; Asenapine; Blonanserin; Brexpiprazole; Carphenazine,,,,,
10,SLC6A4,14,211,Amitriptyline; Amoxapine; Chlorphentermine; Citalopram Hydrobromide; Clomipramine; Desvenlafaxine,,,,,
11,ADRB2,12,223,Albuterol; Arformoterol; Bitolterol; Dilevalol; Dobutamine; Esmolol,,,,,
12,GNRHR,11,234,Abarelix; Cetrorelix; Degarelix; Elagolix; Ganirelix; Gonadorelin,,,,,
13,ADRB1,11,245,Acebutolol; Atenolol; Betaxolol; Bisoprolol; Dobutamine; Dopamine,,,,,
14,SLC6A3,11,256,Amphetamine; Amphetamine Adipate; Amphetamine Aspartate; Armodafinil; Bupropion; Bupropion Hydrobromide,,,,,
15,ESR1,11,267,Clomiphene; Dienestrol; Diethylstilbestrol; Elacestrant; Estradiol; Estradiol Cypionate,,,,,
16,ACHE,10,277,Ambenonium; Benzgalantamine Gluconate; Demecarium; Donepezil; Echothiophate; Echothiophate Iodide,,,,,
17,AR,10,287,Apalutamide; Bicalutamide; Clascoterone; Danazol; Darolutamide; Dromostanolone Propionate,,,,,
18,PGR,9,296,Chlormadinone; Danazol; Desogestrel; Drospirenone; Dydrogesterone; Ethynodiol Diacetate,,,,,
19,SLC12A3,8,304,Bendroflumethiazide; Benzthiazide; Chlorothiazide; Chlorthalidone; Cyclothiazide; Hydrochlorothiazide,,,,,
20,SLC5A2,8,312,Bexagliflozin; Canagliflozin; Dapagliflozin; Dapagliflozin Propanediol; Empagliflozin; Ertugliflozin,,,,,
21,NR3C2,8,320,Canrenone; Desoxycorticosterone; Desoxycorticosterone Pivalate; Drospirenone; Eplerenone; Felodipine,,,,,
