pair_id,drug,disease,code_A_to_E,reason
P01,Cerivastatin,Melanoma,,
P02,Ibalizumab,Melanoma,,
P03,Ribociclib,Melanoma,,
P04,Osimertinib,NSCLC,,
P05,Vemurafenib,Melanoma,,
P06,Ceritinib,NSCLC,,
P07,Dostarlimab,Melanoma,,
P08,Palbociclib,Melanoma,,
P09,Entrectinib,NSCLC,,
P10,Capmatinib,NSCLC,,
P11,Dostarlimab,NSCLC,,
P12,Mebendazole,Melanoma,,
P13,Dabrafenib,Melanoma,,
P14,Beperminogene Perplasmid,NSCLC,,
P15,Lorlatinib,NSCLC,,
P16,Dacomitinib,NSCLC,,
P17,Abemaciclib,Melanoma,,
P18,Sotorasib,Melanoma,,
P19,Cemiplimab,Melanoma,,
P20,Etoricoxib,Melanoma,,
P21,Doxycycline,Melanoma,,
P22,Dacomitinib Anhydrous,NSCLC,,
P23,Encorafenib,Melanoma,,
P24,Crizotinib,NSCLC,,
P25,Ensartinib,NSCLC,,
P26,Amivantamab,NSCLC,,
P27,Carprofen,Melanoma,,
P28,Pralsetinib,Melanoma,,
P29,Cosibelimab,NSCLC,,
P30,Selpercatinib,Melanoma,,
P31,Cetuximab,NSCLC,,
P32,Avelumab,NSCLC,,
P33,Durvalumab,NSCLC,,
P34,Lapatinib,NSCLC,,
P35,Adagrasib,NSCLC,,
P36,Etodolac,Melanoma,,
P37,Doxycycline Hyclate,Melanoma,,
P38,Cabozantinib S-Malate,NSCLC,,
P39,Floxuridine,Melanoma,,
P40,Atorvastatin,Melanoma,,
P41,Tepotinib,NSCLC,,
P42,Lazertinib,NSCLC,,
P43,Sorafenib,Melanoma,,
P44,Brigatinib,NSCLC,,
P45,Crizotinib,Melanoma,,
P46,Fluvastatin,Melanoma,,
P47,Sotorasib,NSCLC,,
P48,Capecitabine,Melanoma,,
P49,Cemiplimab,NSCLC,,
P50,Afatinib,NSCLC,,
