drug,drug_first_approval,disease,new_indication_year,mechanism_class,confidence,pharm_can_reason
Cabozantinib,2012,RCC,2016,kinase,HIGH,yes - directed target
Cabozantinib,2012,HCC,2019,kinase,HIGH,yes - directed target
Lenvatinib,2015,RCC,2016,kinase,MED,yes - directed target
Lenvatinib,2015,HCC,2018,kinase,MED,yes - directed target
Regorafenib,2012,HCC,2017,kinase,HIGH,yes - directed target
Ramucirumab,2014,HCC,2019,antibody,MED,yes - directed target
Olaparib,2014,Breast_Cancer,2018,PARP,HIGH,yes - directed target
Olaparib,2014,Pancreatic_Cancer,2019,PARP,HIGH,yes - directed target
Olaparib,2014,Prostate_Cancer,2020,PARP,HIGH,yes - directed target
Bevacizumab,2004,Ovarian_Cancer,2018,antibody,MED,yes - directed target
Bevacizumab,2004,HCC,2020,antibody,MED,yes - directed target
Dabrafenib,2013,NSCLC,2017,kinase,HIGH,yes - directed target
Trametinib,2013,NSCLC,2017,kinase,HIGH,yes - directed target
Sunitinib,2006,RCC,2017,kinase,MED,yes - directed target
Azacitidine,2004,AML,2020,epigenetic,MED,yes - directed target
Nivolumab,2014,RCC,2015,checkpoint,HIGH,NO - co-occurrence only
Nivolumab,2014,HCC,2017,checkpoint,MED,NO - co-occurrence only
Nivolumab,2014,Colorectal_Cancer,2017,checkpoint,MED,NO - co-occurrence only
Pembrolizumab,2014,NSCLC,2015,checkpoint,HIGH,NO - co-occurrence only
Pembrolizumab,2014,Colorectal_Cancer,2017,checkpoint,HIGH,NO - co-occurrence only
Pembrolizumab,2014,HCC,2018,checkpoint,MED,NO - co-occurrence only
Pembrolizumab,2014,RCC,2019,checkpoint,MED,NO - co-occurrence only
Pembrolizumab,2014,Breast_Cancer,2020,checkpoint,MED,NO - co-occurrence only
Ipilimumab,2011,RCC,2018,checkpoint,MED,NO - co-occurrence only
Ipilimumab,2011,Colorectal_Cancer,2018,checkpoint,MED,NO - co-occurrence only
Ipilimumab,2011,HCC,2020,checkpoint,MED,NO - co-occurrence only
