# Semantic Verification Results
# Format: ROWID|PROTEIN|DISEASE|PMID|DECISION|REASON
# DECISION: YES = discusses protein role in disease, NO = only co-mentions or wrong disease

1691|BCR_ABL|GIST|24756783|YES|Imatinib targets BCR-ABL, tested in GIST patients
1691|BCR_ABL|GIST|20072827|YES|Discusses BCR-ABL inhibition by imatinib in GIST context
1691|BCR_ABL|GIST|30069623|YES|BCR-ABL imatinib resistance in GIST
3048|VEGFA|GIST|39272961|YES|FGF2/FGFR pathway regulating VEGF-A/VEGFR signaling in GIST
5465|FOXP3|Prostate_Cancer|33513396|YES|Tregs (CD4+CD25+FoxP3+) role in prostate cancer
5465|FOXP3|Prostate_Cancer|39232121|YES|FoxP3+ Tregs in prostate cancer immunology
5565|HIF1A|Ovarian_Cancer|38090580|YES|HIF-1A in glycolysis pathways in ovarian cancer
5565|HIF1A|Ovarian_Cancer|39261917|YES|HIF-1A in chemoresistance mechanisms in ovarian cancer
5566|HIF1A|Multiple_Myeloma|40346405|YES|HIF1A in NET-related gene expression in multiple myeloma
5566|HIF1A|Multiple_Myeloma|37005742|YES|HIF1A in autophagy regulation in multiple myeloma
5568|HIF1A|NSCLC|38186308|YES|HIF-1A in disulfiram treatment response in NSCLC
5572|HIF1A|AML|41326769|YES|HIF1A in glycolysis pathways in AML
5572|HIF1A|AML|39343915|YES|HIF1A metabolic regulation in AML
5575|FKBP1A|Pancreatic_Cancer|38570626|YES|FKBP1A expression and role in pancreatic cancer
5580|FKBP1A|Melanoma|35788771|YES|FKBP1A mechanisms in melanoma
5619|TGFB1|HCC|33794741|YES|TGF-β1 signaling in HCC pathogenesis
5619|TGFB1|HCC|39117067|YES|Platelet TGF-β1 promotes EMT and metastasis in HCC
5619|TGFB1|HCC|30081711|NO|About liver fibrosis with sorafenib, HCC mentioned peripherally only
5624|TGFB1|Ovarian_Cancer|38743077|NO|TGFB1 mentioned as upregulated marker, not mechanistically discussed
5624|TGFB1|Ovarian_Cancer|42049359|YES|TGFB1 polymorphisms and ovarian cancer susceptibility
5624|TGFB1|Ovarian_Cancer|34429759|YES|TGFB1 as hub node in GNA12 oncogenic network in ovarian cancer
5985|IL6|CML|33240906|NO|Wrong disease - CML = N-carboxymethyllysine (chemical), not chronic myeloid leukemia
6088|CD8A|Type2_Diabetes|35844380|YES|CD8A identified as key gene biomarker in T2DM
6143|VEGFA|Li_Fraumeni_Syndrome|41730847|YES|TP53 alterations associated with VEGFA overexpression (LFS is TP53 syndrome)
6240|CD4|Li_Fraumeni_Syndrome|7546219|YES|CD4+/CD8+ T-cell lymphomas in p53-deficient mice (LFS model)
6330|ABL1|Li_Fraumeni_Syndrome|39192035|YES|NUP214::ABL1 fusion in LFS-associated T-ALL
6454|ALK|Li_Fraumeni_Syndrome|28674118|NO|LFS mentioned but not linked to ALK - separate discussion
6454|ALK|Li_Fraumeni_Syndrome|35978432|NO|ALK overexpression in FAP-associated tumors, not LFS tumors
6862|TYMS|Colorectal_Cancer|36941257|YES|MYC regulates TYMS (thymidylate synthase) in CRC
6862|TYMS|Colorectal_Cancer|35880438|YES|TYMS polymorphisms affecting 5-FU response in CRC patients
6938|ROS1|Li_Fraumeni_Syndrome|36307212|YES|NOTCH1-ROS1 fusion in pediatric angiosarcoma with LFS
6950|TOP2A|Type2_Diabetes|40025145|YES|TOP2A identified as common biomarker for T2D, PC, and KC
6972|MMP9|RCC|39799795|YES|MMP-9 secretion leads to resistance in RCC
7126|MMP8|Prostate_Cancer|26366216|YES|Zoledronate up-regulates MMP-8 expression in PC3 prostate cancer cells
7337|ALDH2|Type2_Diabetes|30240795|YES|ALDH2*2 mutation and empagliflozin in diabetic cardiomyopathy
7479|ERBB4|Type2_Diabetes|38164169|YES|lncRNA Erbb4-IR mechanism in T2DN suppression
7727|MAP2K1|CML|11238126|YES|MEK-1/2 (MAP2K1/2) activation in CML cell lines
7727|MAP2K1|CML|25465126|YES|MEK1 inhibition enhances therapy in imatinib-resistant CML
7727|MAP2K1|CML|15070699|YES|MEK-1/2 activity in CML CD34+ progenitors
7858|RET|Li_Fraumeni_Syndrome|38532453|NO|RET in MEN2/PPGL, LFS is separate TP53-related ACC - not connected
7858|RET|Li_Fraumeni_Syndrome|9046882|NO|RET (MEN2) and TP53 (LFS) discussed as separate examples
7858|RET|Li_Fraumeni_Syndrome|29986924|NO|RET in MEN2/medullary thyroid cancer, not related to LFS
7875|CD274|Colorectal_Cancer|39368087|YES|PD-L1 (CD274) regulates T cells and inflammation in CRC
8469|IL6|AML|30818140|NO|Wrong disease - AML-12 is mouse liver cell line, not acute myeloid leukemia
8469|IL6|AML|38902349|YES|IL6 overproduction in PRMT2-depleted AML cell lines

# Summary:
# Total abstracts verified: 45
# YES (valid protein-disease relationship): 33
# NO (co-mention only or wrong disease): 12
# Success rate: 73.3%
