accession,status,interpro_domains,distinct_pdb_entries,domain_1,domain_1_name,domain_1_start,domain_1_end,domain_1_mean_plddt,domain_2,domain_2_name,domain_2_start,domain_2_end,domain_2_mean_plddt,cross_domain_pae,af_pair_preassessable,experimental_models,pdb_ids,oracle_standing,interpretation,af_checks,af_inconsistent,af_quarantine,experimental_checks,experimental_consistent,experimental_inconsistent,experimental_quarantine,ranked_findings,reason
O60674,COMPLETE,4,171,IPR000299_37_380,FERM domain,37,380,88.7149,IPR000980_397_501,SH2 domain,397,501,92.225,6.0,True,3,6E2Q;6E2P;4Z32,CONSISTENT,NO_AF_CONFLICT,3,0,0,3,3,0,0,0,
O96017,COMPLETE,2,38,IPR000253_112_191,Forkhead-associated (FHA) domain,112,191,92.0486,IPR000719_220_486,Protein kinase domain,220,486,85.1812,26.0,False,2,3I6U;3I6W,QUARANTINE,AF_QUARANTINE,2,0,2,1,1,0,0,2,
P00533,COMPLETE,6,386,IPR000494_57_167,Receptor L-domain,57,167,94.95,IPR006211_185_338,Furin-like cysteine-rich domain,185,338,89.5284,5.0,True,3,4UV7;9Z9E;1MOX,INCONSISTENT,CONFORMATIONAL_OR_MAPPING_CONFLICT,3,1,0,3,1,2,0,3,
P01106,SKIPPED,3,22,,,,,,,,,,,,,,,,,,,,,,,,,no domain pair covered by two experimental structures
P01111,SKIPPED,1,,,,,,,,,,,,,,,,,,,,,,,,,,fewer than two non-overlapping domain annotations
P01116,SKIPPED,1,,,,,,,,,,,,,,,,,,,,,,,,,,fewer than two non-overlapping domain annotations
P04049,COMPLETE,3,69,IPR003116_56_131,Raf-like Ras-binding,56,131,80.9679,IPR002219_138_185,"Protein kinase C-like, phorbol ester/diacylglycerol-binding domain",138,185,84.5198,22.0,False,3,6XI7;6XGV;6XHB,QUARANTINE,AF_QUARANTINE,3,0,3,3,3,0,0,3,
P04626,COMPLETE,6,57,IPR000494_52_172,Receptor L-domain,52,172,89.9192,IPR000494_366_484,Receptor L-domain,366,484,94.1441,7.0,True,3,5MY6;2A91;1N8Z,CONSISTENT,NO_AF_CONFLICT,3,0,0,3,3,0,0,0,
P04637,COMPLETE,4,287,IPR011615_100_288,"p53, DNA-binding domain",100,288,95.5996,IPR010991_319_357,"p53, tetramerisation domain",319,357,84.2651,21.0,False,3,3Q01;3Q05;3TS8,QUARANTINE,AF_QUARANTINE,3,0,3,3,1,2,0,5,
P06400,COMPLETE,4,19,IPR002720_373_573,"Retinoblastoma-associated protein, A-box",373,573,92.5436,IPR002719_646_765,"Retinoblastoma-associated protein, B-box",646,765,95.2276,4.0,True,3,2R7G;4ELL;9DHU,CONSISTENT,NO_AF_CONFLICT,3,0,0,3,3,0,0,0,
